"","TagId","visit_start","visit_end","duration","YMDL","span","visit_num","TAIR","RELH","PRES","WSPD","SRAD"
"7086","61780778",2021-01-29 10:33:00,2021-01-29 10:36:00,180,2021-01-29,900,3,7.6,32,869.82,5.6,198
"7092","61780778",2021-01-29 10:51:00,2021-01-29 11:06:00,900,2021-01-29,900,4,9.3,29,870,5.8,254
"7132","61780778",2021-01-29 11:27:00,2021-01-29 11:39:00,720,2021-01-29,1260,5,10.6,27,870.01,5.8,284
"7163","61780778",2021-01-29 12:36:00,2021-01-29 12:39:00,180,2021-01-29,3420,6,14.3,18,869.08,5.8,297
"7166","61780778",2021-01-29 13:15:00,2021-01-29 13:21:00,360,2021-01-29,2160,7,18.7,8,867.83,12.8,330
"7184","61780778",2021-01-30 10:36:00,2021-01-30 10:42:00,360,2021-01-30,NA,1,11.6,30,862.43,17.4,449
"7195","61780778",2021-01-30 12:48:00,2021-01-30 12:54:00,360,2021-01-30,7560,2,14.1,30,865.14,18.2,634
"7210","61780778",2021-01-31 09:21:00,2021-01-31 09:27:00,360,2021-01-31,NA,1,3.4,51,883.57,7.2,247
"7221","61780778",2021-01-31 10:57:00,2021-01-31 11:03:00,360,2021-01-31,5400,2,6.8,39,884.82,9.9,509
"7238","61780778",2021-02-01 10:00:00,2021-02-01 10:15:00,900,2021-02-01,NA,1,7.2,44,881.71,7.3,385
"7253","61780778",2021-02-01 10:30:00,2021-02-01 11:06:00,2160,2021-02-01,900,2,9.3,37,881.39,8.9,451
"7311","61780778",2021-02-01 11:24:00,2021-02-01 11:30:00,360,2021-02-01,1080,3,11,34,880.97,10.4,513
"7321","61780778",2021-02-01 11:48:00,2021-02-01 11:51:00,180,2021-02-01,1080,4,12.1,32,880.49,10.1,615
"7330","61780778",2021-02-01 14:57:00,2021-02-01 15:03:00,360,2021-02-01,11160,5,15.6,23,877.09,10.8,562
"7347","61780778",2021-02-02 08:27:00,2021-02-02 08:30:00,180,2021-02-02,NA,1,-2.1,72,874.04,3.5,54
"7351","61780778",2021-02-02 09:30:00,2021-02-02 09:36:00,360,2021-02-02,3600,2,7.8,39,874.16,4.1,284
"7363","61780778",2021-02-02 10:45:00,2021-02-02 10:54:00,540,2021-02-02,4140,3,14.2,23,874.4,5,493
"7386","61780778",2021-02-03 09:03:00,2021-02-03 09:09:00,360,2021-02-03,NA,1,5.4,58,867.77,3.1,184
"7392","61780778",2021-02-03 10:21:00,2021-02-03 10:33:00,720,2021-02-03,4320,2,NA,NA,NA,NA,NA
"7418","61780778",2021-02-03 11:57:00,2021-02-03 12:03:00,360,2021-02-03,5040,3,19.9,26,866.23,2.4,566
"7428","61780778",2021-02-03 13:09:00,2021-02-03 13:15:00,360,2021-02-03,3960,4,21.8,23,864.43,2.4,557
"7441","61780778",2021-02-03 14:27:00,2021-02-03 14:30:00,180,2021-02-03,4320,5,23.3,17,863.11,13,454
"7448","61780778",2021-02-04 09:12:00,2021-02-04 09:15:00,180,2021-02-04,NA,1,1.4,69,871.64,8.9,168
"7454","61780778",2021-02-04 10:06:00,2021-02-04 10:18:00,720,2021-02-04,3060,2,1.7,52,872.14,10.1,197
"7474","61780778",2021-02-04 10:30:00,2021-02-04 10:33:00,180,2021-02-04,720,3,2.3,45,872.06,10,221
"7481","61780778",2021-02-04 10:48:00,2021-02-04 11:00:00,720,2021-02-04,900,4,2.7,49,872.41,8.6,266
"7487","61780778",2021-02-04 11:24:00,2021-02-04 11:36:00,720,2021-02-04,1440,5,3.2,43,872.63,8.1,290
"7514","61780778",2021-02-04 12:21:00,2021-02-04 12:24:00,180,2021-02-04,2700,6,4.7,29,872.69,6.2,412
"7523","61780778",2021-02-05 10:57:00,2021-02-05 11:06:00,540,2021-02-05,NA,1,5.3,33,868.8,6.6,537
"7544","61780778",2021-02-06 09:39:00,2021-02-06 09:48:00,540,2021-02-06,NA,1,3.6,40,870.29,7.5,318
"7567","61780778",2021-02-06 11:00:00,2021-02-06 11:12:00,720,2021-02-06,4320,2,6.9,30,871.31,10.7,548
"7587","61780778",2021-02-08 11:03:00,2021-02-08 11:09:00,360,2021-02-08,NA,1,-6.1,94,869.41,NA,169
"7594","61780778",2021-02-08 13:54:00,2021-02-08 14:00:00,360,2021-02-08,9900,2,-1.8,97,866.93,NA,537
"7607","61780778",2021-02-12 10:06:00,2021-02-12 10:06:00,0,2021-02-12,NA,1,-15.2,86,878.08,NA,69
"7613","61780778",2021-02-12 10:45:00,2021-02-12 10:51:00,360,2021-02-12,2340,2,-15.1,86,877.43,NA,94
"7627","61780778",2021-02-12 11:39:00,2021-02-12 11:45:00,360,2021-02-12,2880,3,-14.9,86,876.82,NA,109
"7633","61780778",2021-02-13 11:03:00,2021-02-13 11:09:00,360,2021-02-13,NA,1,-16.1,86,876,NA,216
"7647","61780778",2021-02-14 08:33:00,2021-02-14 08:42:00,540,2021-02-14,NA,1,-20.4,81,878.35,6.8,119
"7654","61780778",2021-02-14 09:45:00,2021-02-14 09:45:00,0,2021-02-14,3780,2,-20.2,81,879.13,6.8,252
"7659","61780778",2021-02-14 09:57:00,2021-02-14 09:57:00,0,2021-02-14,720,3,-20.2,81,879.07,6.6,279
"7664","61780778",2021-02-14 11:18:00,2021-02-14 11:18:00,0,2021-02-14,4860,4,-19.8,81,879.33,6.3,434
"7669","61780778",2021-02-14 11:54:00,2021-02-14 12:12:00,1080,2021-02-14,2160,5,-19.6,79,878.99,6.9,675
"7685","61780778",2021-02-15 08:03:00,2021-02-15 08:03:00,0,2021-02-15,NA,1,-27.6,75,874.52,1.7,21
"7687","61780778",2021-02-15 08:27:00,2021-02-15 08:27:00,0,2021-02-15,1440,2,-27.1,77,874.93,1.6,99
"7689","61780778",2021-02-15 18:06:00,2021-02-15 18:06:00,0,2021-02-15,34740,3,-18.6,77,868.93,3.9,61
"7691","61780778",2021-02-16 14:42:00,2021-02-16 14:42:00,0,2021-02-16,NA,1,-8.2,78,860.95,3.7,602
"7693","61780778",2021-02-17 09:12:00,2021-02-17 09:12:00,0,2021-02-17,NA,1,-11,89,868.04,0.8,205
"7695","61780778",2021-02-17 13:48:00,2021-02-17 13:51:00,180,2021-02-17,16560,2,-7,94,868.64,1.1,758
"7709","61780778",2021-02-18 10:15:00,2021-02-18 10:15:00,0,2021-02-18,NA,1,-9.9,90,881.4,5.7,315
"7718","61780778",2021-02-18 10:27:00,2021-02-18 10:27:00,0,2021-02-18,720,2,-9.7,90,881.32,6,334
"7724","61780778",2021-02-18 10:42:00,2021-02-18 10:42:00,0,2021-02-18,900,3,-9.4,90,881.59,5.4,346
"7728","61780778",2021-02-18 11:03:00,2021-02-18 11:15:00,720,2021-02-18,1260,4,-8.9,90,881.52,5.7,413
"7755","61780778",2021-02-18 12:00:00,2021-02-18 12:00:00,0,2021-02-18,2700,5,-8.2,90,881.7,5.6,519
"7759","61780778",2021-02-18 13:09:00,2021-02-18 13:09:00,0,2021-02-18,4140,6,-7.3,91,881.63,4.1,380
"7762","61780778",2021-02-18 13:36:00,2021-02-18 13:39:00,180,2021-02-18,1620,7,-7.1,90,881.51,3.3,496
"7774","61780778",2021-02-18 13:54:00,2021-02-18 13:54:00,0,2021-02-18,900,8,-7,88,881.39,3,486
"7779","61780778",2021-02-18 14:33:00,2021-02-18 14:36:00,180,2021-02-18,2340,9,-6.7,88,881.06,2.5,414
"7786","61780778",2021-02-18 15:18:00,2021-02-18 15:21:00,180,2021-02-18,2520,10,-6.4,85,880.97,1.4,388
"7798","61780778",2021-02-18 15:33:00,2021-02-18 15:33:00,0,2021-02-18,720,11,-6.3,85,881.24,1.3,342
"7802","61780778",2021-02-18 16:27:00,2021-02-18 16:27:00,0,2021-02-18,3240,12,-5.9,81,880.75,2.3,162
"7811","61780778",2021-02-19 08:09:00,2021-02-19 08:09:00,0,2021-02-19,NA,1,-12.5,88,876.86,3.2,50
"7814","61780778",2021-02-19 08:39:00,2021-02-19 08:39:00,0,2021-02-19,1800,2,-11.5,87,877.02,4.7,135
"7820","61780778",2021-02-19 09:30:00,2021-02-19 09:33:00,180,2021-02-19,3060,3,-5.4,81,876.95,4.2,326
"7834","61780778",2021-02-19 09:45:00,2021-02-19 09:51:00,360,2021-02-19,720,4,-3.9,77,876.85,4,358
"7846","61780778",2021-02-19 10:12:00,2021-02-19 10:12:00,0,2021-02-19,1260,5,-2.1,74,876.78,3.6,451
"7854","61780778",2021-02-19 12:03:00,2021-02-19 12:03:00,0,2021-02-19,6660,6,2.9,50,875.73,4.6,734
"7860","61780778",2021-02-19 12:18:00,2021-02-19 12:30:00,720,2021-02-19,900,7,3.2,53,875.73,3.2,751
"7874","61780778",2021-02-19 12:51:00,2021-02-19 13:00:00,540,2021-02-19,1260,8,4.7,43,875.41,5.4,770
"7889","61780778",2021-02-19 14:42:00,2021-02-19 14:42:00,0,2021-02-19,6120,9,6,49,874.29,3.8,685
"7894","61780778",2021-02-19 15:33:00,2021-02-19 15:42:00,540,2021-02-19,3060,10,7.1,36,873.87,5.4,577
"7923","61780778",2021-02-20 08:06:00,2021-02-20 08:06:00,0,2021-02-20,NA,1,-4.6,82,873.87,3.1,75
"7926","61780778",2021-02-20 08:39:00,2021-02-20 08:42:00,180,2021-02-20,1980,2,-3,80,873.85,1.7,185
"7944","61780778",2021-02-20 09:57:00,2021-02-20 09:57:00,0,2021-02-20,4500,3,5,49,872.85,3.9,450
"7952","61780778",2021-02-20 10:15:00,2021-02-20 10:15:00,0,2021-02-20,1080,4,5.6,50,872.58,3.7,509
"7960","61780778",2021-02-20 12:06:00,2021-02-20 12:09:00,180,2021-02-20,6660,5,9.7,32,870.81,8.7,727
"7971","61780778",2021-02-20 14:36:00,2021-02-20 14:36:00,0,2021-02-20,8820,6,13,35,866.48,7.1,687
"7975","61780778",2021-02-21 10:21:00,2021-02-21 10:21:00,0,2021-02-21,NA,1,4.4,52,874.22,13.9,526
"7982","61780778",2021-02-21 11:15:00,2021-02-21 11:15:00,0,2021-02-21,3240,2,5.6,45,874.59,15,657
"7983","61780778",2021-02-22 08:00:00,2021-02-22 08:03:00,180,2021-02-22,NA,1,-3.8,65,874.86,4.5,68
"8000","61780778",2021-02-22 09:12:00,2021-02-22 09:12:00,0,2021-02-22,4140,2,2.9,48,875.34,2,316
"8010","61780778",2021-02-22 10:21:00,2021-02-22 10:21:00,0,2021-02-22,4140,3,9.3,24,875.54,2.8,537
"8017","61780778",2021-02-22 11:36:00,2021-02-22 11:39:00,180,2021-02-22,4500,4,12.3,17,875.38,1.7,705
"8028","61780778",2021-02-22 13:06:00,2021-02-22 13:15:00,540,2021-02-22,5220,5,15.2,19,875.18,7.9,774
"8048","61780778",2021-02-22 15:09:00,2021-02-22 15:09:00,0,2021-02-22,6840,6,15.6,18,874.23,4.5,644
"8052","61780778",2021-02-23 08:24:00,2021-02-23 08:24:00,0,2021-02-23,NA,1,0.7,59,870.44,4.3,153
"8062","61780778",2021-02-23 08:57:00,2021-02-23 08:57:00,0,2021-02-23,1980,2,7.4,39,869.96,6.7,272
"8071","61780778",2021-02-23 09:30:00,2021-02-23 09:42:00,720,2021-02-23,1980,3,11.4,27,869.37,8.9,392
"8091","61780778",2021-02-23 10:09:00,2021-02-23 10:09:00,0,2021-02-23,1620,4,13.1,23,868.83,10.2,503
"8100","61780778",2021-02-23 10:21:00,2021-02-23 10:39:00,1080,2021-02-23,720,5,13.9,22,868.53,10.4,515
"8135","61780778",2021-02-23 11:21:00,2021-02-23 11:21:00,0,2021-02-23,2520,6,15.9,18,867.32,12,574
"8141","61780778",2021-02-23 11:33:00,2021-02-23 11:36:00,180,2021-02-23,720,7,16.8,18,867.13,11,731
"8158","61780778",2021-02-23 11:51:00,2021-02-23 11:51:00,0,2021-02-23,900,8,16.4,19,866.67,12.2,672
"8162","61780778",2021-02-23 13:42:00,2021-02-23 13:45:00,180,2021-02-23,6660,9,17.9,19,863.52,9.5,612
"8179","61780778",2021-02-23 18:12:00,2021-02-23 18:15:00,180,2021-02-23,16020,10,18.9,16,861.48,3.4,81
"8195","61780778",2021-02-24 08:12:00,2021-02-24 08:21:00,540,2021-02-24,NA,1,-2.9,68,877.82,2.9,115
"8219","61780778",2021-02-24 09:30:00,2021-02-24 09:33:00,180,2021-02-24,4140,2,1.7,50,878.82,5.4,390
"8236","61780778",2021-02-24 09:51:00,2021-02-24 09:57:00,360,2021-02-24,1080,3,2.1,49,878.86,5.5,454
"8261","61780778",2021-02-24 10:18:00,2021-02-24 10:21:00,180,2021-02-24,1260,4,2.7,47,879.05,5.2,528
"8278","61780778",2021-02-24 13:42:00,2021-02-24 13:42:00,0,2021-02-24,12060,5,7,23,877.23,3.8,770
"8286","61780778",2021-02-24 13:57:00,2021-02-24 14:00:00,180,2021-02-24,900,6,7.4,22,877.09,3,758
"8304","61780778",2021-02-25 09:57:00,2021-02-25 10:03:00,360,2021-02-25,NA,1,-0.2,45,882.2,2.3,176
"8333","61780778",2021-02-25 10:30:00,2021-02-25 10:45:00,900,2021-02-25,1620,2,0.2,40,882.21,2.1,191
"8384","61780778",2021-02-25 11:18:00,2021-02-25 11:21:00,180,2021-02-25,1980,3,1.2,36,882,3.4,262
"8402","61780778",2021-02-25 12:54:00,2021-02-25 12:57:00,180,2021-02-25,5580,4,2.7,29,880.75,4.6,449
"8422","61780778",2021-02-26 09:45:00,2021-02-26 09:51:00,360,2021-02-26,NA,1,5.5,41,866.7,5,448
"8452","61780778",2021-02-26 10:48:00,2021-02-26 10:54:00,360,2021-02-26,3420,2,10.1,27,866.93,9.6,623
"8469","61780778",2021-02-26 14:39:00,2021-02-26 14:39:00,0,2021-02-26,13500,3,14.4,13,865.32,5,725
"8475","61780778",2021-02-27 09:21:00,2021-02-27 09:21:00,0,2021-02-27,NA,1,9.5,18,863.72,8.4,384
"8484","61780778",2021-02-27 09:48:00,2021-02-27 09:54:00,360,2021-02-27,1620,2,11.1,16,863.4,10.4,470
"8508","61780778",2021-02-27 10:57:00,2021-02-27 10:57:00,0,2021-02-27,3780,3,16.1,10,862.32,11.9,672
"8514","61780778",2021-02-27 12:24:00,2021-02-27 12:24:00,0,2021-02-27,5220,4,18.5,5,861.14,16.1,799
"8516","61780778",2021-02-27 12:57:00,2021-02-27 13:03:00,360,2021-02-27,1980,5,19.4,4,860.83,16.6,796
"8539","61780778",2021-02-27 15:06:00,2021-02-27 15:06:00,0,2021-02-27,7380,6,19.7,5,860.22,14.6,674
"8545","61780778",2021-02-28 09:12:00,2021-02-28 09:57:00,2700,2021-02-28,NA,1,0,36,875.1,8.1,347
"8638","61780778",2021-02-28 10:30:00,2021-02-28 10:30:00,0,2021-02-28,1980,2,3.1,32,875.35,10.4,594
"8646","61780778",2021-02-28 11:06:00,2021-02-28 11:09:00,180,2021-02-28,2160,3,3.9,30,875.24,10,677
"8662","61780778",2021-02-28 12:45:00,2021-02-28 12:54:00,540,2021-02-28,5760,4,5.6,26,875.17,9.6,801
"8694","61780778",2021-03-01 08:57:00,2021-03-01 08:57:00,0,2021-03-01,NA,1,-1.1,46,882.96,2.2,299
"8704","61780778",2021-03-01 10:21:00,2021-03-01 10:30:00,540,2021-03-01,5040,2,3.6,32,883.8,3.3,576
"8739","61780778",2021-03-01 10:57:00,2021-03-01 11:09:00,720,2021-03-01,1620,3,4.6,29,884.02,2.4,666
"8789","61780778",2021-03-02 07:36:00,2021-03-02 07:36:00,0,2021-03-02,NA,1,-2.3,40,875.61,6,26
"8797","61780778",2021-03-02 08:30:00,2021-03-02 08:33:00,180,2021-03-02,3240,2,0.9,34,875.69,5.3,222
"8807","61780778",2021-03-02 08:54:00,2021-03-02 08:54:00,0,2021-03-02,1260,3,2.9,30,875.81,6.6,293
"8810","61780778",2021-03-02 09:06:00,2021-03-02 09:18:00,720,2021-03-02,720,4,3.6,27,875.79,6.2,347
"8831","61780778",2021-03-02 09:51:00,2021-03-02 10:06:00,900,2021-03-02,1980,5,8.1,20,875.5,5.6,500
"8871","61780778",2021-03-02 11:39:00,2021-03-02 11:39:00,0,2021-03-02,5580,6,15.4,10,874.3,7.9,762
"8876","61780778",2021-03-02 12:03:00,2021-03-02 12:06:00,180,2021-03-02,1440,7,16.5,9,873.97,8.1,798
"8889","61780778",2021-03-02 12:51:00,2021-03-02 12:51:00,0,2021-03-02,2700,8,18.1,8,873.08,7.7,836
"8897","61780778",2021-03-02 13:15:00,2021-03-02 13:18:00,180,2021-03-02,1440,9,19,7,872.66,8.8,837
"8913","61780778",2021-03-02 15:48:00,2021-03-02 15:54:00,360,2021-03-02,9000,10,19.7,7,870.49,9.8,600
"8925","61780778",2021-03-03 08:51:00,2021-03-03 09:00:00,540,2021-03-03,NA,1,7.7,23,871.53,6.4,300
"8950","61780778",2021-03-03 10:48:00,2021-03-03 10:51:00,180,2021-03-03,6480,2,16.2,13,872.01,8.4,663
"8966","61780778",2021-03-04 08:54:00,2021-03-04 08:54:00,0,2021-03-04,NA,1,5.1,37,870.74,4,119
"8976","61780778",2021-03-04 09:27:00,2021-03-04 09:33:00,360,2021-03-04,1980,2,7.5,30,869.95,0.6,213
"9004","61780778",2021-03-04 10:09:00,2021-03-04 10:09:00,0,2021-03-04,2160,3,12.3,22,869.47,4,367
"9014","61780778",2021-03-04 11:30:00,2021-03-04 11:33:00,180,2021-03-04,4860,4,19.1,15,868.18,8.1,727
"9030","61780778",2021-03-04 12:12:00,2021-03-04 12:12:00,0,2021-03-04,2340,5,18.8,17,867.3,8.4,185
"9033","61780778",2021-03-04 15:12:00,2021-03-04 15:18:00,360,2021-03-04,10800,6,19.4,20,866.02,7.7,732
"9040","61780778",2021-03-04 15:48:00,2021-03-04 15:48:00,0,2021-03-04,1800,7,18.1,28,866.13,12.9,733
"9042","61780778",2021-03-04 17:00:00,2021-03-04 17:00:00,0,2021-03-04,4320,8,13.8,33,867.72,9.8,84
"9050","61780778",2021-03-05 10:00:00,2021-03-05 10:00:00,0,2021-03-05,NA,1,5.7,96,880.75,9.5,57
"9058","61780778",2021-03-05 11:30:00,2021-03-05 11:30:00,0,2021-03-05,5400,2,7.6,85,882.05,7.6,202
"9067","61780778",2021-03-05 12:54:00,2021-03-05 12:54:00,0,2021-03-05,5040,3,10.1,73,882.37,7.7,610
"9085","61780778",2021-03-05 13:57:00,2021-03-05 13:57:00,0,2021-03-05,3780,4,12.6,56,880.65,7.4,682
"9102","61780778",2021-03-05 14:33:00,2021-03-05 14:33:00,0,2021-03-05,2160,5,12.8,51,880.35,7.8,714
"9114","61780778",2021-03-06 08:00:00,2021-03-06 08:00:00,0,2021-03-06,NA,1,-0.1,84,880.75,4.6,125
"9117","61780778",2021-03-06 09:39:00,2021-03-06 09:39:00,0,2021-03-06,5940,2,9.3,60,880.14,7.3,460
"9123","61780778",2021-03-06 09:51:00,2021-03-06 09:54:00,180,2021-03-06,720,3,10.3,57,879.93,6.7,510
"9159","61780778",2021-03-06 10:09:00,2021-03-06 10:12:00,180,2021-03-06,900,4,11.1,52,879.69,8.5,558
"9189","61780778",2021-03-06 10:48:00,2021-03-06 10:51:00,180,2021-03-06,2160,5,12.5,45,879.27,9,666
"9221","61780778",2021-03-06 11:06:00,2021-03-06 11:09:00,180,2021-03-06,900,6,12.8,42,879.1,9.7,700
"9247","61780778",2021-03-06 12:15:00,2021-03-06 12:18:00,180,2021-03-06,3960,7,15.6,30,878.4,9,823
"9280","61780778",2021-03-06 12:57:00,2021-03-06 13:00:00,180,2021-03-06,2340,8,16.5,25,877.85,9.8,853
"9305","61780778",2021-03-06 15:33:00,2021-03-06 15:33:00,0,2021-03-06,9180,9,17.1,21,875.4,11.1,644
"9319","61780778",2021-03-07 09:00:00,2021-03-07 09:03:00,180,2021-03-07,NA,1,6,54,875.88,8.6,344
"9340","61780778",2021-03-07 09:15:00,2021-03-07 09:27:00,720,2021-03-07,720,2,6.9,52,875.82,9.2,397
"9401","61780778",2021-03-07 15:42:00,2021-03-07 15:45:00,180,2021-03-07,22500,3,21.6,14,874.57,5,616
"9431","61780778",2021-03-08 10:09:00,2021-03-08 10:09:00,0,2021-03-08,NA,1,13.2,37,875.46,10.1,637
"9445","61780778",2021-03-08 10:21:00,2021-03-08 10:27:00,360,2021-03-08,720,2,13.1,35,875.51,10.5,257
"9494","61780778",2021-03-09 09:12:00,2021-03-09 09:15:00,180,2021-03-09,NA,1,13.9,33,869.56,7.9,358
"9524","61780778",2021-03-09 12:27:00,2021-03-09 12:36:00,540,2021-03-09,11520,2,21.7,18,868.15,10.6,602
"9575","61780778",2021-03-10 08:36:00,2021-03-10 08:39:00,180,2021-03-10,NA,1,10.1,34,866.18,8.1,276
"9606","61780778",2021-03-10 09:12:00,2021-03-10 09:15:00,180,2021-03-10,1980,2,12.3,18,866.58,13.3,405
"9640","61780778",2021-03-10 10:33:00,2021-03-10 10:33:00,0,2021-03-10,4680,3,14.7,12,866.53,14.2,655
"9654","61780778",2021-03-10 10:54:00,2021-03-10 10:54:00,0,2021-03-10,1260,4,15.3,11,866.58,14.9,708
"9660","61780778",2021-03-10 11:51:00,2021-03-10 11:54:00,180,2021-03-10,3420,5,16.8,9,866.77,14.2,789
"9693","61780778",2021-03-10 12:51:00,2021-03-10 12:51:00,0,2021-03-10,3420,6,17.7,9,866.53,13.3,841
"9699","61780778",2021-03-10 13:42:00,2021-03-10 13:42:00,0,2021-03-10,3060,7,18.5,9,866.15,13.2,836
"9712","61780778",2021-03-11 09:21:00,2021-03-11 09:24:00,180,2021-03-11,NA,1,1.4,72,876.56,5.8,435
"9745","61780778",2021-03-11 10:57:00,2021-03-11 11:03:00,360,2021-03-11,5580,2,5.1,54,876.86,5.7,711
"9794","61780778",2021-03-11 11:39:00,2021-03-11 11:39:00,0,2021-03-11,2160,3,6.2,48,876.7,5.2,787
"9806","61780778",2021-03-11 14:36:00,2021-03-11 14:36:00,0,2021-03-11,10620,4,11.3,34,874.44,6,777
"9812","61780778",2021-03-12 13:48:00,2021-03-12 13:48:00,0,2021-03-12,NA,1,4.6,94,877.54,5.3,246
"9818","61780778",2021-03-12 14:00:00,2021-03-12 14:00:00,0,2021-03-12,720,2,5,93,877.36,5.7,192
"9833","61780778",2021-03-14 10:24:00,2021-03-14 10:24:00,0,2021-03-14,NA,1,3.1,76,859.8,7.5,468
"9846","61780778",2021-03-15 09:48:00,2021-03-15 09:48:00,0,2021-03-15,NA,1,2.1,71,868.08,9.6,338
"9855","61780778",2021-03-15 11:57:00,2021-03-15 11:57:00,0,2021-03-15,7740,2,5.3,64,867.83,6.4,732
"9871","61780778",2021-03-15 15:03:00,2021-03-15 15:09:00,360,2021-03-15,11160,3,10.5,40,866.7,5.9,839
"9909","61780778",2021-03-16 12:24:00,2021-03-16 12:27:00,180,2021-03-16,NA,1,10.8,56,864.95,5.7,782
"9928","61780778",2021-03-17 09:27:00,2021-03-17 09:33:00,360,2021-03-17,NA,1,0.5,81,870.09,13.3,80
"9938","61780778",2021-03-17 09:54:00,2021-03-17 09:54:00,0,2021-03-17,1260,2,1.1,79,870.49,15.9,165
"9950","61780778",2021-03-17 10:39:00,2021-03-17 10:42:00,180,2021-03-17,2700,3,1.9,76,871.41,13.7,353
"9963","61780778",2021-03-18 08:27:00,2021-03-18 08:30:00,180,2021-03-18,NA,1,-3,73,880.22,4.3,62
"9999","61780778",2021-03-18 10:57:00,2021-03-18 11:00:00,180,2021-03-18,8820,2,5,45,881.7,5.3,595
"10033","61780778",2021-03-19 09:15:00,2021-03-19 09:18:00,180,2021-03-19,NA,1,0.8,87,883.05,6.2,205
"10056","61780778",2021-03-19 11:39:00,2021-03-19 11:39:00,0,2021-03-19,8460,2,8.4,55,882.57,8.7,686
"10063","61780778",2021-03-19 12:09:00,2021-03-19 12:09:00,0,2021-03-19,1800,3,9,51,882.22,9.6,754
"10066","61780778",2021-03-19 12:33:00,2021-03-19 12:33:00,0,2021-03-19,1440,4,9.9,48,881.87,9.9,800
"10073","61780778",2021-03-19 12:54:00,2021-03-19 12:54:00,0,2021-03-19,1260,5,10.6,47,881.52,9.8,829
"10077","61780778",2021-03-19 14:42:00,2021-03-19 14:42:00,0,2021-03-19,6480,6,14,37,879.71,9.2,860
"10087","61780778",2021-03-19 14:57:00,2021-03-19 14:57:00,0,2021-03-19,900,7,13.9,37,879.49,10,846
"10098","61780778",2021-03-19 15:33:00,2021-03-19 15:33:00,0,2021-03-19,2160,8,14.5,33,878.97,9.8,800
"10113","61780778",2021-03-20 09:51:00,2021-03-20 09:51:00,0,2021-03-20,NA,1,6.9,56,876.17,11.6,376
"10126","61780778",2021-03-20 10:09:00,2021-03-20 10:12:00,180,2021-03-20,1080,2,8.1,53,876.28,9.4,436
"10144","61780778",2021-03-20 11:06:00,2021-03-20 11:12:00,360,2021-03-20,3240,3,11.6,40,875.81,13.3,523
"10191","61780778",2021-03-20 12:21:00,2021-03-20 12:21:00,0,2021-03-20,4140,4,15.9,31,874.94,14,831
"10192","61780778",2021-03-21 09:45:00,2021-03-21 10:00:00,900,2021-03-21,NA,1,10.8,46,869.14,6.7,360
"10240","61780778",2021-03-21 10:21:00,2021-03-21 10:21:00,0,2021-03-21,1260,2,13.8,37,869.35,6.7,488
"10247","61780778",2021-03-21 11:03:00,2021-03-21 11:06:00,180,2021-03-21,2520,3,16.4,29,869.57,4.7,620
"10272","61780778",2021-03-21 12:27:00,2021-03-21 12:27:00,0,2021-03-21,4860,4,18.5,15,869.52,3.2,506
"10288","61780778",2021-03-22 11:12:00,2021-03-22 11:12:00,0,2021-03-22,NA,1,2.1,96,866.3,10.8,153
"10304","61780778",2021-03-23 08:45:00,2021-03-23 08:48:00,180,2021-03-23,NA,1,1.6,81,864.36,5.3,157
"10329","61780778",2021-03-23 09:33:00,2021-03-23 09:33:00,0,2021-03-23,2700,2,3.6,77,864.91,6.2,316
"10342","61780778",2021-03-23 10:36:00,2021-03-23 10:36:00,0,2021-03-23,3780,3,6.5,65,865.26,10.6,546
"10359","61780778",2021-03-23 11:30:00,2021-03-23 11:30:00,0,2021-03-23,3240,4,8.1,55,865.59,10.7,706
"10369","61780778",2021-03-24 13:36:00,2021-03-24 13:36:00,0,2021-03-24,NA,1,-0.2,95,870.95,6.4,190
"10371","61780778",2021-03-25 08:33:00,2021-03-25 08:33:00,0,2021-03-25,NA,1,-3.1,92,867.08,3.1,87
"10378","61780778",2021-03-25 10:00:00,2021-03-25 10:00:00,0,2021-03-25,5220,2,1.9,88,867.03,4.1,426
"10396","61780778",2021-03-25 11:09:00,2021-03-25 11:12:00,180,2021-03-25,4140,3,4.4,81,866.85,5.7,655
"10415","61780778",2021-03-25 13:12:00,2021-03-25 13:12:00,0,2021-03-25,7200,4,8.4,65,865.36,6.1,894
"10432","61780778",2021-03-26 10:51:00,2021-03-26 10:57:00,360,2021-03-26,NA,1,13.1,30,866.03,9.4,620
"10483","61780778",2021-03-26 11:30:00,2021-03-26 11:33:00,180,2021-03-26,1980,2,12.9,34,866.32,9.1,720
"10507","61780778",2021-03-26 12:03:00,2021-03-26 12:03:00,0,2021-03-26,1800,3,13.8,30,866.24,7.9,790
"10524","61780778",2021-03-26 12:21:00,2021-03-26 12:21:00,0,2021-03-26,1080,4,14.5,27,866.14,9.5,832
"10526","61780778",2021-03-26 14:30:00,2021-03-26 14:33:00,180,2021-03-26,7740,5,16.9,20,865.05,10.3,1032
"10546","61780778",2021-03-27 09:27:00,2021-03-27 09:27:00,0,2021-03-27,NA,1,5.5,74,874.09,6.8,318
"10554","61780778",2021-03-27 11:39:00,2021-03-27 11:39:00,0,2021-03-27,7920,2,11.2,48,875.26,8,738
"10571","61780778",2021-03-27 12:42:00,2021-03-27 12:45:00,180,2021-03-27,3780,3,13.1,36,875.44,10,887
"10577","61780778",2021-03-27 14:15:00,2021-03-27 14:18:00,180,2021-03-27,5400,4,14,29,875.83,9.4,961
